"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "JSON", "SQL", "Markdown", "HTML", "comment", "blank", "total"
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/reducers/allCampuses.reducer.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/reducers/allProfiles.reducer.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/reducers/campus.reducer.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/reducers/cohort.reducer.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/reducers/currentStack.reducer.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/reducers/errors.reducer.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 7, 4, 42
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/reducers/jobs.reducer.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/reducers/knownStack.reducer.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/reducers/profile.reducer.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 3, 3, 41
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/reducers/resource.reducer.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/reducers/resourceTags.reducer.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/reducers/user.reducer.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 2, 2, 15
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/sagas/_root.saga.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 7, 7, 41
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/sagas/addResources.saga.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/sagas/campus.saga.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/sagas/cohort.saga.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 2, 9, 35
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/sagas/getResource.saga.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 7, 24
